CWD_Barcod,Kill_Date,Township,Range,Range_Dir,Section,Quarter_Se,Deer_Sex,DTRSQ,X,Y
283507,11/21/2010,4,6,4,21,1,M,404062110,-89.78385441,42.81019906
283545,11/17/2012,4,6,4,10,2,M,404061020,-89.77394095,42.83903335
283558,11/18/2012,5,6,4,25,4,M,405062540,-89.72513147,42.87570781
283587,11/19/2011,4,5,4,4,2,M,404050420,-89.91166725,42.85333849
283623,12/28/2012,4,6,4,10,2,F,404061020,-89.77394095,42.83903335
283701,11/22/2009,9,5,4,27,2,M,409052720,-89.89254793,43.23107083
283719,11/21/2009,9,7,4,10,3,F,409071030,-89.65530463,43.26746541
283766,10/9/2011,8,7,4,20,4,M,408072040,-89.68513334,43.15135147
283775,1/3/2011,7,6,4,9,2,F,407060920,-89.7942034,43.10041999
283791,12/5/2010,8,5,4,35,1,M,408053510,-89.86273029,43.12925382
283814,12/18/2010,7,4,4,23,1,M,407042310,-89.980647,43.07129496
283827,11/27/2010,8,7,4,30,3,M,408073030,-89.71464968,43.13705947
283910,11/25/2010,7,6,4,27,2,M,407062720,-89.77487856,43.05712068
283914,11/21/2010,8,6,4,19,1,M,408061910,-89.8235853,43.15844016
283976,11/15/2011,7,6,4,19,2,M,407061920,-89.83354861,43.07106305
283994,10/22/2008,8,7,4,19,4,M,408071940,-89.70482454,43.15142474
284010,11/27/2008,7,7,4,6,2,F,407070620,-89.71480625,43.11534698
284025,10/17/2009,8,5,4,14,2,F,408051420,-89.87288386,43.17267873
