R	Vled	Vres	I
Ohm	V	V	mA
160	2.97	2.01	12.3
620	2.74	2.27	3.7
820	2.7	2.3	2.8
910	2.69	2.31	2.6
510	2.77	2.23	4.4
430	2.79	2.21	5.1
270	2.87	2.12	7.9
